City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
399,Tayoltita,24.0833,-105.9333,74.37,18,0,6.53,MX,2023-01-16 21:12:01
400,Iqaluit,63.7506,-68.5145,-30.5,89,38,6.33,CA,2023-01-16 21:12:02
401,Broome,42.2506,-75.833,37.0,62,0,11.5,US,2023-01-16 21:12:02
402,Dokka,60.84,10.0618,15.85,95,98,2.15,NO,2023-01-16 21:12:03
403,Katastarion,37.8333,20.7667,55.29,73,2,19.82,GR,2023-01-16 21:12:03
404,Waingapu,-9.6567,120.2641,78.85,84,100,5.17,ID,2023-01-16 21:12:03
405,Ola,59.5833,151.2833,-16.91,90,44,9.91,RU,2023-01-16 21:12:04
406,Tymovskoye,50.8456,142.655,-27.2,100,40,3.06,RU,2023-01-16 21:12:04
407,Slantsy,59.1182,28.0914,33.46,88,65,10.33,RU,2023-01-16 21:12:05
408,Quatre Cocos,-20.2078,57.7625,79.09,74,62,16.8,MU,2023-01-16 21:12:05
409,Lagoa,39.05,-27.9833,57.56,73,36,15.52,PT,2023-01-16 21:12:06
410,El Alto,-4.2714,-81.2147,80.26,63,20,16.73,PE,2023-01-16 21:13:06
411,Kichmengskiy Gorodok,59.9816,45.7854,18.59,90,100,12.5,RU,2023-01-16 21:13:07
412,Barillas,15.8036,-91.3158,72.91,45,6,4.14,GT,2023-01-16 21:13:07
413,Klaksvik,62.2266,-6.589,25.72,63,100,21.81,FO,2023-01-16 21:13:08
414,Tirat Karmel,32.7617,34.9719,54.63,90,43,3.53,IL,2023-01-16 21:13:08
415,Verkhnevilyuysk,63.4453,120.3167,-37.19,99,100,2.33,RU,2023-01-16 21:13:09
416,Fort Nelson,58.8053,-122.7002,11.95,88,100,1.92,CA,2023-01-16 21:13:09
417,Sabang,5.8933,95.3214,79.27,71,100,13.11,ID,2023-01-16 21:13:10
418,Tabas,33.5959,56.9244,43.59,41,2,1.57,IR,2023-01-16 21:13:10
419,Pierre,44.3683,-100.351,32.86,88,100,14.97,US,2023-01-16 21:13:10
420,Nicoya,10.1483,-85.452,84.54,55,62,7.74,CR,2023-01-16 21:13:11
421,Luanda,-8.8368,13.2343,80.6,74,40,3.44,AO,2023-01-16 21:13:11
422,Uyuni,-20.4597,-66.825,63.99,23,64,20.38,BO,2023-01-16 21:13:12
423,Gloucester,51.8657,-2.2431,32.49,72,51,1.01,GB,2023-01-16 21:13:01
424,Saint Anthony,45.0205,-93.218,36.48,94,100,8.05,US,2023-01-16 21:13:13
425,Saint-Augustin,51.226,-58.6502,28.4,92,100,23.76,CA,2023-01-16 21:13:13
426,Barguzin,53.6167,109.6167,-9.2,94,65,4.32,RU,2023-01-16 21:13:14
427,Ascension,30.2169,-90.9001,72.09,69,100,9.22,US,2023-01-16 21:13:14
428,Bayan,46.0833,127.4,-17.57,99,15,4.12,CN,2023-01-16 21:13:15
429,Vostok,46.4856,135.8833,-21.1,98,67,4.94,RU,2023-01-16 21:13:15
430,Tateyama,34.9833,139.8667,42.1,62,71,13.09,JP,2023-01-16 21:13:15
431,Holice,50.066,15.9859,37.26,87,100,4.61,CZ,2023-01-16 21:13:16
432,Apatou,5.155,-54.3472,75.0,97,76,3.74,GF,2023-01-16 21:13:16
433,Syamzha,60.0158,41.0614,21.74,92,100,11.95,RU,2023-01-16 21:13:17
